title,journal,year
An Arad and Fismanas Theorem on Products of Conjugacy Classes Revisited,,2022
On the diameter of a p regular conjugacy class graph of finite groups II,,2003
Some Properties of Normal Subgroups Determined from Character Tables,Springer,2024
Multiplying a conjugacy class by its inverse in a finite group,Springer,2018
On finite groups with square free conjugacy class sizes,No indexada,2018
Some class size conditions implying solvability of finite groups,,2006
Corrigendum to Variations on a theorem by Alan Camina on conjugacy class sizes [J. Algebra 296 (2006) 253 266] (DOI:10.1016/j.jalgebra.2005.06.031),,2008
Triangles in the graph of conjugacy classes of normal subgroups,Springer,2017
Prime powers as conjugacy class lengths of π elements,Journal of the Australian Mathematical Society,2004
Finite p solvable groups with three p regular conjugacy class sizes,,2013
On products of groups and indices not divisible by a given prime,Springer,2020
Products of Groups and Class Sizes of Elements,,2020
New progress in products of conjugacy classes in finite groups,Cambridge University Press,2019
Finite groups with a disconnected p regular conjugacy class graph,,2004
Powers of conjugacy classes in a finite group,Springer,2020
Squares of real conjugacy classes in finite groups,Springer,2018
On G character tables for normal subgroups,Taylor & Francis Group,2023
Finite groups with four conjugacy class sizes,,2011
Landau's theorem on conjugacy classes for normal subgroups,World Scientific Publishing Co. Pte Ltd,2016
A generalisation on the solvability of finite groups with three class sizes for normal subgroups,Cambridge University Press,2015
Square free class sizes in products of groups,,2017
Certain relations between p regular class sizes and the p structure of p solvable groups,Journal of the Australian Mathematical Society,2004
The structure of finite groups with three class sizes,,2009
Nilpotency of p complements and p regular conjugacy class sizes,,2007
Finite groups with two p regular conjugacy class lengths,Journal of the Australian Mathematical Society,2003
Normal subgroups whose conjugacy class graph has diameter three,Cambridge University Press,2016
On zeros of irreducible characters lying in a normal subgroup,Springer,2020
Class sizes of prime power order p′ elements and normal subgroups,Springer,2015
P divisibility of conjugacy class sizes and normal p complements,Walter de Gruyter,2015
Cosets of normal subgroups and powers of conjugacy classes,No indexada,2021
Some problems about products of conjugacy classes in finite groups,No indexada,2020
Nilpotency of normal subgroups having two G class sizes,,2011
Variations on a theorem by Alan Camina on conjugacy class sizes,,2006
Erratum: Some class size conditions implying solvability of finite groups (Journal of Group Theory (2006) 9 (787 797)),,2011
Normal subgroups and class sizes of elements of prime power order,,2012
Normal sections class sizes and solvability of finite groups,,2014
Normal subgroups and p regular G class sizes,,2011
Conjugacy classes contained in normal subgroups: An overview,No indexada,2018
Zeros of irreducible characters in factorised groups,Springer,2019
Structure of normal subgroups with three G class sizes,,2012
On the diameter of a p regular conjugacy class graph of finite groups,,2002
Structural criteria in factorised groups via conjugacy class sizes,Cambridge University Press,2019
Graphs associated to conjugacy classes of normal subgroups in finite groups,,2015
Prime Power Indices in Factorised Groups,,2017
Structure of p complements in groups with three p regular class sizes,,2013
Erratum: Corrigendum on the solvability of groups with four class sizes (Journal of Algebra and its Applications (2012) 11:6 (3)),,2012
Prime factors of π partial character degrees and conjugacy class sizes of π elements,World Scientific Publishing Co. Pte Ltd,2005
Groups Whose Common Divisor Graph on p Regular Classes has Diameter Three,,2025
Ito'S theorem on groups with two class sizes revisited,,2012
Solvability of normal subgroups and G class sizes,Kossuth Lajos Tudomanyegyetem,2013
Nilpotent and abelian hall subgroups in finite groups,American Mathematical Society,2016
Structure of finite groups under certain arithmetical conditions on class sizes,,2008
On the solvability of groups with four class sizes,,2012
The influence of p regular class sizes on normal subgroups,,2013
Simplicity of normal subgroups and conjugacy class sizes,Springer,2014
