"title","journal","year","otros_investigadores"
"Newton filtrations, graded algebras and codimension of non-degenerate ideals","Mathematical Proceedings of the Cambridge Philosophical Society",2002,"C Bivia-Ausina;T Fukui;MJ Saia"
"The analytic spread of monomial ideals","Taylor & Francis Group",2003,"C Bivia-Ausina"
"Local Łojasiewicz exponents, Milnor numbers and mixed multiplicities of ideals","Mathematische Zeitschrift",2009,"C Bivià-Ausina"
"Joint reductions of monomial ideals and multiplicity of complex analytic maps","Mathematical Research Letters",2008,"C Bivià-Ausina"
"Injectivity of real polynomial maps and Łojasiewicz exponents at infinity","Mathematische Zeitschrift",2007,"C Bivià-Ausina"
"The integral closure of modules, Buchsbaum–Rim multiplicities and Newton polyhedra","Journal of the London Mathematical Society",2004,"C Bivià-Ausina"
"Lojasiewicz exponents, the integral closure of ideals and Newton polyhedra","Journal of the Mathematical Society of Japan",2003,"C Bivià-Ausina"
"Mixed Newton numbers and isolated complete intersection singularities","Proceedings of the London Mathematical Society",2007,"C Bivià‐Ausina"
"Nondegenerate ideals in formal power series rings","The Rocky Mountain Journal of Mathematics",2004,"C Bivia-Ausina"
"Jacobian ideals and the Newton non-degeneracy condition","Proceedings of the Edinburgh Mathematical Society",2005,"C Bivià-Ausina"
"Łojasiewicz exponent of families of ideals, Rees mixed multiplicities and Newton filtrations","Revista Matemática Complutense",2013,"C Bivià-Ausina;S Encinas"
"The Łojasiewicz exponent of a set of weighted homogeneous ideals","Journal of Pure and Applied Algebra",2011,"C Bivià-Ausina;S Encinas"
"Mixed Bruce–Roberts numbers","Proceedings of the Edinburgh Mathematical Society",2020,"C Bivià-Ausina;MAS Ruas"
"Invariants for bi-Lipschitz equivalence of ideals","The Quarterly Journal of Mathematics",2017,"C Bivià-Ausina;T Fukui"
"Mixed Łojasiewicz exponents and log canonical thresholds of ideals","Journal of Pure and Applied Algebra",2016,"C Bivià-Ausina;T Fukui"
"Łojasiewicz exponents and resolution of singularities","Archiv der Mathematik",2009,"C Bivià-Ausina;S Encinas"
"Multiplicity and Łojasiewicz exponent of generic linear sections of monomial ideals","Bulletin of the Australian Mathematical Society",2015,"C Bivia-Ausina"
"Growth at infinity and index of polynomial maps","Journal of Mathematical Analysis and Applications",2015,"C Bivià-Ausina;JAC Huarcaya"
"The deformation multiplicity of a map germ with respect to a Boardman symbol","Proceedings of the Royal Society of Edinburgh Section A: Mathematics",2001,"C Bivià-Ausina;JJ Nuño-Ballesteros"
"Bruce-Roberts Numbers and Quasihomogeneous Functions on Analytic Varieties","arXiv preprint arXiv:",2022,"C Bivià-Ausina;K Kourliouros;MAS Ruas"
"Analytic spread and integral closure of integrally decomposable modules","Nagoya Mathematical Journal",2022,"C Bivià-Ausina;J Montaño"
"Integral closure and bounds for quotients of multiplicities of monomial ideals","Journal of Algebra",2018,"C Bivià-Ausina"
"The Integral Closure of Ideals in ℂ{x, y}","Communications in Algebra",2003,"C Bivià-Ausina"
"A Method to Estimate the Degree of C0-Sufficiency of Analytic Functions","Experimental Mathematics",2002,"C Bivia-Ausina"
"Log canonical threshold and diagonal ideals","Proceedings of the American Mathematical Society",2017,"C Bivià-Ausina"
"Generic linear sections of complex hypersurfaces and monomial ideals","Topology and its Applications",2012,"C Bivià-Ausina"
"The index of analytic vector fields and Newton polyhedra","",2003,"C Bivia-Ausina"
"The special closure of polynomial maps and global non-degeneracy","Mediterranean Journal of Mathematics",2017,"C Bivià-Ausina;JAC Huarcaya"
"The sequence of mixed Łojasiewicz exponents associated to pairs of monomial ideals","Journal of Algebra",2020,"C Bivià-Ausina"
"Polynomial maps with maximal multiplicity and the special closure","Monatshefte für Mathematik",2019,"C Bivià-Ausina;JAC Huarcaya"
"Mixed\L ojasiewicz exponents, log canonical thresholds of ideals and bi-Lipschitz equivalence","arXiv preprint arXiv:",2014,"C Bivià-Ausina;T Fukui"
"Introducció pràctica a les equacions diferencials","Colección Académica",2022,"C Bivià Ausina"
"Invariants for bi-Lipschitz equivalence of ideals and related topics","",2021,"C Bivia-Ausina"
"The sequence of mixed\L ojasiewicz exponents associated to pairs of ideals","arXiv preprint arXiv:",2019,"C Bivià-Ausina"
"Real and complex singularities and their applications in geometry and topology","Topology and its Applications",2018,"C Bivià-Ausina;J Damon;MG Manoel;RDS Oliveira"
"Submodules of minimal Buchsbaum–Rim multiplicity and applications","manuscripta mathematica",2009,"C Bivià-Ausina"
"Volume 34 Summer 2004 Number 2","Rocky Mountain Journal of Mathematics",2004,"FM Azmi;E Ballico;S Bazzoni;L Salce;AF Beardon;L Lorentzen;..."
"VOLUME INDEX","JOURNAL OF MATHEMATICS",2004,"S Abramovich;DD Anderson;FM Azmi;E Bairamov;E Ballico;A Bandini;..."
"The second Japanese-Australian Workshop on Real and Complex Singularities","",NA,"C Bivia-Ausina"
"Lojasiewicz exponent of families of ideals","",NA,"C Bivia-Ausina;S Encinas"
"Errata and Minor Additions for Integral Closure of Ideals, Rings, and Modules","",NA,"I Swanson;C Huneke;C Bivia-Ausina;T Dinh;F Enescu;D Grinberg;..."
