title,journal,year,otros_investigadores
Sufficient conditions for supersolubility of finite groups,Journal of Pure and Applied Algebra,1998.0,A Ballester-Bolinches;MC Pedraza-Aguilera
On minimal subgroups of finite groups,Acta Mathematica Hungarica,1996.0,A Ballester-Bolinches;M Pedraza-Aguilera
Finite soluble groups with permutable subnormal subgroups,Journal of Algebra,2001.0,MJ Alejandre;A Ballester-Bolinches;MC Pedraza-Aguilera
On totally permutable products of finite groups,Journal of Algebra,2005.0,A Ballester-Bolinches;J Cossey;R Esteban-Romero
A note on minimal subgroups of finite groups,Communications in Algebra,1996.0,M Asaad;A Ballester-Bolinches;MC Pedraza Aguilera
On products of finite supersoluble groups,Communications in Algebra,2001.0,A Ballester-Bolinches;J Cossey;MC Pedraza-Aguilera
On finite products of totally permutable groups,Bulletin of the Australian Mathematical Society,1996.0,A Ballester-Bolinches;MC Pedraza-Aguilera;MD Perez-Ramos
On -subnormality criteria in finite -soluble groups,"Revista de la Real Academia de Ciencias Exactas, Fisicas y Naturales. Serie ...",2020.0,A Ballester-Bolinches;SF Kamornikov;MC Pedraza-Aguilera;...
Finite groups which are products of pairwise totally permutable subgroups,Proceedings of the Edinburgh Mathematical Society,1998.0,A Ballester-Bolinches;MC Pedraza-Aguilera;MD Perez-Ramos
Totally and mutually permutable products of finite groups,Mathematics and the,2001.0,A Ballester-Bolinches
On a class of p-soluble groups,Algebra Colloquium,2005.0,A Ballester-Bolinches;R Esteban-Romero;MC Pedraza-Aguilera
On some permutable products of supersoluble groups,,2004.0,MJ Alejandre;A Ballester-Bolinches;J Cossey;MC Pedraza-Aguilera
On σ-subnormal subgroups of factorised finite groups,Journal of Algebra,2020.0,A Ballester-Bolinches;SF Kamornikov;MC Pedraza-Aguilera;X Yi
"Mutually permutable products of finite groups, II",Journal of Algebra,1999.0,A Ballester-Bolinches;MC Pedraza-Aguilera
On finite soluble products of N-connected groups,Walter de Gruyter GmbH & Co. KG,1999.0,A Ballester-Bolinches;MC Pedraza-Aguilera
On products of generalised supersoluble finite groups,Mediterranean Journal of Mathematics,2019.0,A Ballester-Bolinches;WM Fakieh;MC Pedraza-Aguilera
Finite trifactorized groups and formations,Journal of Algebra,2000.0,A Ballester-Bolinches;A Martınez-Pastor;MC Pedraza-Aguilera
On F-subnormal subgroups and F-residuals of finite soluble groups,Journal of Algebra,1996.0,A Ballester-Bolinches;MC Pedraza-Aguilera;MD Perez-Ramos
On factorised finite groups,Mediterranean Journal of Mathematics,2020.0,A Ballester-Bolinches;Y Li;MC Pedraza-Aguilera;N Su
On two classes of generalised finite T-groups,"Revista de la Real Academia de Ciencias Exactas, Fisicas y Naturales. Serie ...",2023.0,A Ballester-Bolinches;MC Pedraza-Aguilera;V Perez-Calabuig
On pairwise mutually permutable products,Walter de Gruyter GmbH & Co. KG,2009.0,A Ballester-Bolinches;JC Beidleman;H Heineken;MC Pedraza-Aguilera
A note on m-permutable products of finite groups,Walter de Gruyter GmbH & Co. KG,2000.0,A Ballester-Bolinches;X Guo;MC Pedraza-Aguilera
A class of generalised finite T-groups,Journal of Algebra,2011.0,A Ballester-Bolinches;AD Feldman;MC Pedraza-Aguilera;MF Ragland
Local classes and pairwise mutually permutable products of finite groups.,Documenta Mathematica,2010.0,A Ballester-Bolinches;JC Beidleman;H Heineken;MC Pedraza-Aguilera
Mutually permutable products of two nilpotent groups,Rendiconti del Seminario Matematico della Universita di Padova,2006.0,A Ballester-Bolinches;JC Beidleman;J Cossey;H Heineken;...
On finite groups in which subnormal subgroups satisfy certain permutability conditions,Advances in Algebra,2003.0,A Ballester-Bolinches;R Esteban-Romero;MC Pedraza-Aguilera
On -normally embedded subgroups of finite soluble groups,Rendiconti del Seminario Matematico della Universita di Padova,1996.0,A Ballester-Bolinches;MC Pedraza-Aguilera;MD Perez-Ramos
On certain products of permutable subgroups,Bulletin of the Australian Mathematical Society,2022.0,A Ballester-Bolinches;SY Madanha;TMM Shumba;...
A survey on pairwise mutually permutable products of finite groups,Algebra and Discrete Mathematics,2018.0,A Ballester-Bolinches;JC Beidleman;H Heineken;MC Pedraza-Aguilera
Prefactorized subgroups in pairwise mutually permutable products,Annali di Matematica Pura ed Applicata,2013.0,A Ballester-Bolinches;JC Beidleman;H Heineken;MC Pedraza-Aguilera
Characterizations of Schunck classes of finite soluble groups,Journal of Algebra,1998.0,A Ballester-Bolinches;MC Pedraza-Aguilera;MD Perez-Ramos
