title,journal,year,otros_investigadores
Chaos for linear fractional transformations of shifts,Elsevier B.V.,2016,Jimenez-Munguia R.R.; Galan V.J.; Martinez-Gimenez F.; Peris A.
The specification property for backward shifts,,2012,Bartoll S.; Martinez-Gimenez F.; Peris A.
Distributional chaos for backward shifts,,2009,Martinez-Gimenez F.; Oprocha P.; Peris A.
Chaotic differential operators,Springer-Verlag Italia s.r.l.,2011,Conejero J.A.; Martinez-Gimenez F.
Li-Yorke and distributionally chaotic operators,,2011,Bermudez T.; Bonilla A.; Martinez-Gimenez F.; Peris A.
Product recurrence for weighted backward shifts,Natural Sciences Publishing Co.,2015,Galan V.; Martinez-Gimenez F.; Oprocha P.; Peris A.
Universal and chaotic multipliers on spaces of operators,,2004,Bonet J.; Martinez-Gimenez F.; Peris A.
Linear chaos on Frechet spaces,World Scientific Publishing Co. Pte Ltd,2003,Bonet J.; Martinez-Gimenezt F.; Peris A.
Chaos on fuzzy dynamical systems,MDPI,2021,Martinez-Gimenez F.; Peris A.; Rodenas F.
The Specification Property for C -Semigroups,Birkhauser Verlag AG,2019,Bartoll S.; Martinez-Gimenez F.; Peris A.; Rodenas F.
Distributional chaos for operators with full scrambled sets,,2013,Martinez-Gimenez F.; Oprocha P.; Peris A.
"Vector measure range duality and factorizations of (D, p)-summing operators from Banach function spaces",,2004,Martinez-Gimenez F.; Perez E.A.S.
RATE OF GROWTH OF DISTRIBUTIONALLY CHAOTIC FUNCTIONS,Element D.O.O.,2022,Gilmore C.; Martinez-Gimenez F.; Peris A.
Accurate Criteria for Broken Bar Detection in Induction Motors Based on the Wavelet (Packet) Transform,Multidisciplinary Digital Publishing Institute (MDPI),2024,Antonino-Daviu J.A.; Martinez-Gimenez F.; Peris A.; Ramezanzadeh N.; Rodenas F.
"Cantor sets, bernoulli shifts and linear dynamics",Springer New York LLC,2014,Bartoll S.; Martinez-Gimenez F.; Murillo-Arcila M.; Peris A.
"Erratum to ""Uniform convergence and chaotic behavior"" [Nonlinear Anal. TMA 65 (4) (2006) 933-937] (DOI:10.1016/j.na.2005.04.056)",,2008,Abu-Saris R.M.; Martinez-Gimenez F.; Peris A.
Inverse gas chromatography study on the effect of humidity on the mass transport of alcohols in an ethylene-vinyl alcohol copolymer near the glass transition temperature,,2007,Cava D.; Lagaron J.M.; Martinez-Gimenez F.; Gavara R.
Chaotic asymptotic behaviour of the solutions of the Lighthill–Whitham–Richards equation,Springer Netherlands,2016,Conejero J.A.; Martinez-Gimenez F.; Peris A.; Rodenas F.
Orbit Tracing Properties on Hyperspaces and Fuzzy Dynamical Systems,MDPI,2022,Bartoll S.; Martinez-Gimenez F.; Peris A.; Rodenas F.
Slow growth for universal harmonic functions,,2010,Gomez-Collado M.C.; Martinez-Gimenez F.; Peris A.; Rodenas F.
Universality and chaos for tensor products of operators,Academic Press Inc.,2003,Martinez-Gimenez F.; Peris A.
Sets of periods for chaotic linear operators,Springer-Verlag Italia s.r.l.,2021,Conejero J.A.; Martinez-Gimenez F.; Peris A.; Rodenas F.
Comparison of different wavelet families for broken bar detection in induction motors,Institute of Electrical and Electronics Engineers Inc.,2015,Hernandez J.C.; Antonino-Daviu J.; Martinez-Gimenez F.; Peris A.
Application and optimization of the discrete wavelet transform for the detection of broken rotor bars in induction machines,,2006,Antonino-Daviu J.; Riera-Guasp M.; Roger-Folch J.; Martinez-Gimenez F.; Peris A.
A Banach space which admits no chaotic operator,John Wiley and Sons Ltd,2001,Bonet J.; Martinez-Gimenez F.; Peris A.
Existence of hypercyclic polynomials on complex Frechet spaces,,2009,Martinez-Gimenez F.; Peris A.
Chaos for power series of backward shift operators,,2007,Martinez-Gimenez F.
Operators with the specification property,Academic Press Inc.,2016,Bartoll S.; Martinez-Gimenez F.; Peris A.
Chaos for backward shift operators,World Scientific Publishing Co. Pte Ltd,2002,Martinez-Gimenez F.; Peris A.
Chaotic polynomials on sequence and function spaces,World Scientific Publishing Co. Pte Ltd,2010,Martinez-Gimenez F.; Peris A.
