title,journal,year
Characterizations of quasi metric completeness in terms of kannan type fixed point theorems,Hacettepe University,2017
Quotient subspaces of asymmetric normed linear spaces,,2007
Compactness in asymmetric normed spaces,,2008
A Caristi fixed point theorem for complete quasi metric spaces by using mw distances,House of the Book of Science,2018
On a class of real normed lattices,Kluwer Academic/Plenum Publishers,1998
A discussion on p geraghty contraction on mw quasi metric spaces,MDPI AG,2020
The Hahn Banach extension theorem for fuzzy normed spaces revisited,Hindawi Publishing Corporation,2014
The weak topology in finite dimensional asymmetric normed spaces,Elsevier B.V.,2019
Modified w distances on quasi metric spaces and a fixed point theorem on complete quasi metric spaces,Elsevier,2016
Continuous operators on asymmetric normed spaces,,2009
On the uniform boundedness theorem in fuzzy quasi normed spaces,Elsevier,2016
Revisiting Bianchini and Grandolfi Theorem in the Context of Modified I Distances,Birkhauser Verlag AG,2019
On the fixed point theory in bicomplete quasi metric spaces,International Scientific Research Publications,2016
The uniform boundedness theorem in asymmetric normed spaces,,2012
Quasi uniform structures in linear lattices,,1993
On paratopological vector spaces,,2003
On the Hahn Banach theorem in certain linear quasi uniform structures,Akademiai Kiado Rt.,1999
Projective limits of paratopological vector spaces,Belgian Mathematical Society,2005
Characterizations of metrizable topological vector spaces and their asymmetric generalizations in terms of fuzzy (quasi )norms,,2010
Quasi Metric Properties of the Dual Cone of an Asymmetric Normed Space,Birkhauser,2022
A note on Icontractions in probabilistic and fuzzy metric spaces,Elsevier B.V.,2017
Quasi uniformities on real vector spaces,,1997
A fixed point theorem for generalized contractions involving w distances on complete quasi metric spaces,Hindawi Publishing Corporation,2014
